provider,health_system_name,hospital_ownership,code,code_type,charge_description,code_class,plan_raw,mapped_payer,mapped_payer_class,rate,medicare_provider_id,npi,long,lat,street_address,city,state,zip_code,county,medicare_cbsa,acute_care_facility,hospital_overall_rating,hospital_type,total_beds,location,tq_compliance_score,cms_quality_rating,effectiveness_of_care_national_comparison,efficient_use_of_medical_imaging_national_comparison,mortality_national_comparison,patient_experience_national_comparison,readmission_national_comparison,safety_of_care_national_comparison,timeliness_of_care_national_comparison
Atrium Medical Center,Premier Health,Voluntary non-profit - Private,"72148",CPT,Based on APC 5523 rate - Level 3 Imaging without Contrast,Diagnostic Radiology (Diagnostic Imaging) Procedures of the Spine and Pelvis,MMO - NAS,Unsorted,Commercial,1828.00,"360076","1700950060",-84.3150453,39.4986323,One Medical Center Drive,Middletown,OH,"45005",Warren,"Cincinnati, OH-KY-IN",true,4,Acute Care Hospitals,324,POINT (-84.3150453 39.4986323),4,4,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average
Atrium Medical Center,Premier Health,Voluntary non-profit - Private,"72148",CPT,Based on APC 5523 rate - Level 3 Imaging without Contrast,Diagnostic Radiology (Diagnostic Imaging) Procedures of the Spine and Pelvis,PHCS (NO CAPELLA),PHCS,Commercial,2197.00,"360076","1700950060",-84.3150453,39.4986323,One Medical Center Drive,Middletown,OH,"45005",Warren,"Cincinnati, OH-KY-IN",true,4,Acute Care Hospitals,324,POINT (-84.3150453 39.4986323),4,4,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average
Atrium Medical Center,Premier Health,Voluntary non-profit - Private,"72148",CPT,Based on APC 5523 rate - Level 3 Imaging without Contrast,Diagnostic Radiology (Diagnostic Imaging) Procedures of the Spine and Pelvis,UNITED HEALTHCARE,United Healthcare,Commercial,372.00,"360076","1700950060",-84.3150453,39.4986323,One Medical Center Drive,Middletown,OH,"45005",Warren,"Cincinnati, OH-KY-IN",true,4,Acute Care Hospitals,324,POINT (-84.3150453 39.4986323),4,4,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average
Atrium Medical Center,Premier Health,Voluntary non-profit - Private,"795",MSDRG,Normal Newborn,NORMAL NEWBORN,AETNA,Aetna,Commercial,3993.00,"360076","1700950060",-84.3150453,39.4986323,One Medical Center Drive,Middletown,OH,"45005",Warren,"Cincinnati, OH-KY-IN",true,4,Acute Care Hospitals,324,POINT (-84.3150453 39.4986323),4,4,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average
Atrium Medical Center,Premier Health,Voluntary non-profit - Private,"795",MSDRG,Normal Newborn,NORMAL NEWBORN,AETNA Cincinnati Preferred,Aetna,Commercial,3018.00,"360076","1700950060",-84.3150453,39.4986323,One Medical Center Drive,Middletown,OH,"45005",Warren,"Cincinnati, OH-KY-IN",true,4,Acute Care Hospitals,324,POINT (-84.3150453 39.4986323),4,4,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average
Atrium Medical Center,Premier Health,Voluntary non-profit - Private,"795",MSDRG,Normal Newborn,NORMAL NEWBORN,CARESOURCE- EXCHANGE,Unsorted,Commercial,2950.00,"360076","1700950060",-84.3150453,39.4986323,One Medical Center Drive,Middletown,OH,"45005",Warren,"Cincinnati, OH-KY-IN",true,4,Acute Care Hospitals,324,POINT (-84.3150453 39.4986323),4,4,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average
Atrium Medical Center,Premier Health,Voluntary non-profit - Private,"795",MSDRG,Normal Newborn,NORMAL NEWBORN,CIGNA - HMO/PPO,Cigna,Commercial,4877.00,"360076","1700950060",-84.3150453,39.4986323,One Medical Center Drive,Middletown,OH,"45005",Warren,"Cincinnati, OH-KY-IN",true,4,Acute Care Hospitals,324,POINT (-84.3150453 39.4986323),4,4,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average
Atrium Medical Center,Premier Health,Voluntary non-profit - Private,"795",MSDRG,Normal Newborn,NORMAL NEWBORN,HUMANA - ALL MEMBERS,Humana,Medicare,3864.00,"360076","1700950060",-84.3150453,39.4986323,One Medical Center Drive,Middletown,OH,"45005",Warren,"Cincinnati, OH-KY-IN",true,4,Acute Care Hospitals,324,POINT (-84.3150453 39.4986323),4,4,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average
Atrium Medical Center,Premier Health,Voluntary non-profit - Private,"795",MSDRG,Normal Newborn,NORMAL NEWBORN,MEDICAID MANAGED CARE - BUCKEYE,Buckeye,Medicaid,1077.00,"360076","1700950060",-84.3150453,39.4986323,One Medical Center Drive,Middletown,OH,"45005",Warren,"Cincinnati, OH-KY-IN",true,4,Acute Care Hospitals,324,POINT (-84.3150453 39.4986323),4,4,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average
Atrium Medical Center,Premier Health,Voluntary non-profit - Private,"795",MSDRG,Normal Newborn,NORMAL NEWBORN,Medicare Reference Pricing (Generated by Turquoise Health),Medicare Reference Pricing (Generated by Turquoise Health),Medicare Reference Pricing (Generated by Turquoise Health),1965.36,"360076","1700950060",-84.3150453,39.4986323,One Medical Center Drive,Middletown,OH,"45005",Warren,"Cincinnati, OH-KY-IN",true,4,Acute Care Hospitals,324,POINT (-84.3150453 39.4986323),4,4,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average
Atrium Medical Center,Premier Health,Voluntary non-profit - Private,"795",MSDRG,Normal Newborn,NORMAL NEWBORN,MMO - CORE,Unsorted,Commercial,4646.00,"360076","1700950060",-84.3150453,39.4986323,One Medical Center Drive,Middletown,OH,"45005",Warren,"Cincinnati, OH-KY-IN",true,4,Acute Care Hospitals,324,POINT (-84.3150453 39.4986323),4,4,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average
Atrium Medical Center,Premier Health,Voluntary non-profit - Private,"795",MSDRG,Normal Newborn,NORMAL NEWBORN,MMO - NAS,Unsorted,Commercial,3637.00,"360076","1700950060",-84.3150453,39.4986323,One Medical Center Drive,Middletown,OH,"45005",Warren,"Cincinnati, OH-KY-IN",true,4,Acute Care Hospitals,324,POINT (-84.3150453 39.4986323),4,4,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average
Atrium Medical Center,Premier Health,Voluntary non-profit - Private,"795",MSDRG,Normal Newborn,NORMAL NEWBORN,PHCS (NO CAPELLA),PHCS,Commercial,4417.00,"360076","1700950060",-84.3150453,39.4986323,One Medical Center Drive,Middletown,OH,"45005",Warren,"Cincinnati, OH-KY-IN",true,4,Acute Care Hospitals,324,POINT (-84.3150453 39.4986323),4,4,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average
Atrium Medical Center,Premier Health,Voluntary non-profit - Private,"795",MSDRG,Normal Newborn,NORMAL NEWBORN,UNITED HEALTHCARE,United Healthcare,Commercial,2440.00,"360076","1700950060",-84.3150453,39.4986323,One Medical Center Drive,Middletown,OH,"45005",Warren,"Cincinnati, OH-KY-IN",true,4,Acute Care Hospitals,324,POINT (-84.3150453 39.4986323),4,4,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average
Avita Health System - Ontario Hospital,,Voluntary non-profit - Private,"19083",CPT,BREAST BX W/ LOCALIZATION DEVICE & IMAGING OF SPECIMEN FIRST LESION W/ US GUIDANCE,Excision Procedures on the Breast,Aetna,Aetna,Commercial,2856.00,"360365","1790131050",-82.59326,40.772408,"715 Richland Mall",Mansfield,OH,"44906",Richland,"Mansfield, OH",true,4,Acute Care Hospitals,26,POINT (-82.59326 40.772408),5,4,Below the national average,Same as the national average,Not Available,Above the national average,Same as the national average,Below the national average,Above the national average
Avita Health System - Ontario Hospital,,Voluntary non-profit - Private,"19083",CPT,BREAST BX W/ LOCALIZATION DEVICE & IMAGING OF SPECIMEN FIRST LESION W/ US GUIDANCE,Excision Procedures on the Breast,Anthem,Blue Cross,Commercial,2637.60,"360365","1790131050",-82.59326,40.772408,"715 Richland Mall",Mansfield,OH,"44906",Richland,"Mansfield, OH",true,4,Acute Care Hospitals,26,POINT (-82.59326 40.772408),5,4,Below the national average,Same as the national average,Not Available,Above the national average,Same as the national average,Below the national average,Above the national average
Avita Health System - Ontario Hospital,,Voluntary non-profit - Private,"19083",CPT,BREAST BX W/ LOCALIZATION DEVICE & IMAGING OF SPECIMEN FIRST LESION W/ US GUIDANCE,Excision Procedures on the Breast,Anthem Medicare,Blue Cross,Medicare,1142.40,"360365","1790131050",-82.59326,40.772408,"715 Richland Mall",Mansfield,OH,"44906",Richland,"Mansfield, OH",true,4,Acute Care Hospitals,26,POINT (-82.59326 40.772408),5,4,Below the national average,Same as the national average,Not Available,Above the national average,Same as the national average,Below the national average,Above the national average
Avita Health System - Ontario Hospital,,Voluntary non-profit - Private,"19083",CPT,BREAST BX W/ LOCALIZATION DEVICE & IMAGING OF SPECIMEN FIRST LESION W/ US GUIDANCE,Excision Procedures on the Breast,Cash Price,Cash Price,Self-Pay,2856.00,"360365","1790131050",-82.59326,40.772408,"715 Richland Mall",Mansfield,OH,"44906",Richland,"Mansfield, OH",true,4,Acute Care Hospitals,26,POINT (-82.59326 40.772408),5,4,Below the national average,Same as the national average,Not Available,Above the national average,Same as the national average,Below the national average,Above the national average
Avita Health System - Ontario Hospital,,Voluntary non-profit - Private,"19083",CPT,BREAST BX W/ LOCALIZATION DEVICE & IMAGING OF SPECIMEN FIRST LESION W/ US GUIDANCE,Excision Procedures on the Breast,Cigna,Cigna,Commercial,2694.72,"360365","1790131050",-82.59326,40.772408,"715 Richland Mall",Mansfield,OH,"44906",Richland,"Mansfield, OH",true,4,Acute Care Hospitals,26,POINT (-82.59326 40.772408),5,4,Below the national average,Same as the national average,Not Available,Above the national average,Same as the national average,Below the national average,Above the national average
Avita Health System - Ontario Hospital,,Voluntary non-profit - Private,"19083",CPT,BREAST BX W/ LOCALIZATION DEVICE & IMAGING OF SPECIMEN FIRST LESION W/ US GUIDANCE,Excision Procedures on the Breast,Humana,Humana,Commercial,3225.60,"360365","1790131050",-82.59326,40.772408,"715 Richland Mall",Mansfield,OH,"44906",Richland,"Mansfield, OH",true,4,Acute Care Hospitals,26,POINT (-82.59326 40.772408),5,4,Below the national average,Same as the national average,Not Available,Above the national average,Same as the national average,Below the national average,Above the national average
Avita Health System - Ontario Hospital,,Voluntary non-profit - Private,"19083",CPT,BREAST BX W/ LOCALIZATION DEVICE & IMAGING OF SPECIMEN FIRST LESION W/ US GUIDANCE,Excision Procedures on the Breast,Humana Medicare,Humana,Medicare,1256.51,"360365","1790131050",-82.59326,40.772408,"715 Richland Mall",Mansfield,OH,"44906",Richland,"Mansfield, OH",true,4,Acute Care Hospitals,26,POINT (-82.59326 40.772408),5,4,Below the national average,Same as the national average,Not Available,Above the national average,Same as the national average,Below the national average,Above the national average
Avita Health System - Ontario Hospital,,Voluntary non-profit - Private,"19083",CPT,BREAST BX W/ LOCALIZATION DEVICE & IMAGING OF SPECIMEN FIRST LESION W/ US GUIDANCE,Excision Procedures on the Breast,List Price,Unsorted,List Price,3360.00,"360365","1790131050",-82.59326,40.772408,"715 Richland Mall",Mansfield,OH,"44906",Richland,"Mansfield, OH",true,4,Acute Care Hospitals,26,POINT (-82.59326 40.772408),5,4,Below the national average,Same as the national average,Not Available,Above the national average,Same as the national average,Below the national average,Above the national average
Avita Health System - Ontario Hospital,,Voluntary non-profit - Private,"19083",CPT,BREAST BX W/ LOCALIZATION DEVICE & IMAGING OF SPECIMEN FIRST LESION W/ US GUIDANCE,Excision Procedures on the Breast,Medicare Reference Pricing (Generated by Turquoise Health),Medicare Reference Pricing (Generated by Turquoise Health),Medicare Reference Pricing (Generated by Turquoise Health),1262.56,"360365","1790131050",-82.59326,40.772408,"715 Richland Mall",Mansfield,OH,"44906",Richland,"Mansfield, OH",true,4,Acute Care Hospitals,26,POINT (-82.59326 40.772408),5,4,Below the national average,Same as the national average,Not Available,Above the national average,Same as the national average,Below the national average,Above the national average
Avita Health System - Ontario Hospital,,Voluntary non-profit - Private,"19083",CPT,BREAST BX W/ LOCALIZATION DEVICE & IMAGING OF SPECIMEN FIRST LESION W/ US GUIDANCE,Excision Procedures on the Breast,MMO,Unsorted,Commercial,2688.00,"360365","1790131050",-82.59326,40.772408,"715 Richland Mall",Mansfield,OH,"44906",Richland,"Mansfield, OH",true,4,Acute Care Hospitals,26,POINT (-82.59326 40.772408),5,4,Below the national average,Same as the national average,Not Available,Above the national average,Same as the national average,Below the national average,Above the national average
Avita Health System - Ontario Hospital,,Voluntary non-profit - Private,"19083",CPT,BREAST BX W/ LOCALIZATION DEVICE & IMAGING OF SPECIMEN FIRST LESION W/ US GUIDANCE,Excision Procedures on the Breast,MMO Medicare,Unsorted,Medicare,1256.51,"360365","1790131050",-82.59326,40.772408,"715 Richland Mall",Mansfield,OH,"44906",Richland,"Mansfield, OH",true,4,Acute Care Hospitals,26,POINT (-82.59326 40.772408),5,4,Below the national average,Same as the national average,Not Available,Above the national average,Same as the national average,Below the national average,Above the national average
Avita Health System - Ontario Hospital,,Voluntary non-profit - Private,"19083",CPT,BREAST BX W/ LOCALIZATION DEVICE & IMAGING OF SPECIMEN FIRST LESION W/ US GUIDANCE,Excision Procedures on the Breast,UHC,United Healthcare,Commercial,2856.00,"360365","1790131050",-82.59326,40.772408,"715 Richland Mall",Mansfield,OH,"44906",Richland,"Mansfield, OH",true,4,Acute Care Hospitals,26,POINT (-82.59326 40.772408),5,4,Below the national average,Same as the national average,Not Available,Above the national average,Same as the national average,Below the national average,Above the national average
Avita Health System - Ontario Hospital,,Voluntary non-profit - Private,"19083",CPT,BREAST BX W/ LOCALIZATION DEVICE & IMAGING OF SPECIMEN FIRST LESION W/ US GUIDANCE,Excision Procedures on the Breast,UHC Medicare,United Healthcare,Medicare,1256.51,"360365","1790131050",-82.59326,40.772408,"715 Richland Mall",Mansfield,OH,"44906",Richland,"Mansfield, OH",true,4,Acute Care Hospitals,26,POINT (-82.59326 40.772408),5,4,Below the national average,Same as the national average,Not Available,Above the national average,Same as the national average,Below the national average,Above the national average
Avita Health System - Ontario Hospital,,Voluntary non-profit - Private,"470",MSDRG,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITHOUT MCC,Anthem Medicare,Blue Cross,Medicare,5903.10,"360365","1790131050",-82.59326,40.772408,"715 Richland Mall",Mansfield,OH,"44906",Richland,"Mansfield, OH",true,4,Acute Care Hospitals,26,POINT (-82.59326 40.772408),5,4,Below the national average,Same as the national average,Not Available,Above the national average,Same as the national average,Below the national average,Above the national average
Avita Health System - Ontario Hospital,,Voluntary non-profit - Private,"470",MSDRG,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITHOUT MCC,Humana Medicare,Humana,Medicare,10764.33,"360365","1790131050",-82.59326,40.772408,"715 Richland Mall",Mansfield,OH,"44906",Richland,"Mansfield, OH",true,4,Acute Care Hospitals,26,POINT (-82.59326 40.772408),5,4,Below the national average,Same as the national average,Not Available,Above the national average,Same as the national average,Below the national average,Above the national average
Avita Health System - Ontario Hospital,,Voluntary non-profit - Private,"470",MSDRG,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITHOUT MCC,Medicare Reference Pricing (Generated by Turquoise Health),Medicare Reference Pricing (Generated by Turquoise Health),Medicare Reference Pricing (Generated by Turquoise Health),18045.63,"360365","1790131050",-82.59326,40.772408,"715 Richland Mall",Mansfield,OH,"44906",Richland,"Mansfield, OH",true,4,Acute Care Hospitals,26,POINT (-82.59326 40.772408),5,4,Below the national average,Same as the national average,Not Available,Above the national average,Same as the national average,Below the national average,Above the national average
Avita Health System - Ontario Hospital,,Voluntary non-profit - Private,"470",MSDRG,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITHOUT MCC,MMO Medicare,Unsorted,Medicare,10764.33,"360365","1790131050",-82.59326,40.772408,"715 Richland Mall",Mansfield,OH,"44906",Richland,"Mansfield, OH",true,4,Acute Care Hospitals,26,POINT (-82.59326 40.772408),5,4,Below the national average,Same as the national average,Not Available,Above the national average,Same as the national average,Below the national average,Above the national average
Avita Health System - Ontario Hospital,,Voluntary non-profit - Private,"470",MSDRG,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITHOUT MCC,UHC Medicare,United Healthcare,Medicare,10764.33,"360365","1790131050",-82.59326,40.772408,"715 Richland Mall",Mansfield,OH,"44906",Richland,"Mansfield, OH",true,4,Acute Care Hospitals,26,POINT (-82.59326 40.772408),5,4,Below the national average,Same as the national average,Not Available,Above the national average,Same as the national average,Below the national average,Above the national average
Avita Health System - Ontario Hospital,,Voluntary non-profit - Private,"71046",CPT,RADIOLOGY X-RAY CHEST 2 VIEWS,Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Aetna,Aetna,Commercial,226.10,"360365","1790131050",-82.59326,40.772408,"715 Richland Mall",Mansfield,OH,"44906",Richland,"Mansfield, OH",true,4,Acute Care Hospitals,26,POINT (-82.59326 40.772408),5,4,Below the national average,Same as the national average,Not Available,Above the national average,Same as the national average,Below the national average,Above the national average
Avita Health System - Ontario Hospital,,Voluntary non-profit - Private,"71046",CPT,RADIOLOGY X-RAY CHEST 2 VIEWS,Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Anthem,Blue Cross,Commercial,208.81,"360365","1790131050",-82.59326,40.772408,"715 Richland Mall",Mansfield,OH,"44906",Richland,"Mansfield, OH",true,4,Acute Care Hospitals,26,POINT (-82.59326 40.772408),5,4,Below the national average,Same as the national average,Not Available,Above the national average,Same as the national average,Below the national average,Above the national average
Avita Health System - Ontario Hospital,,Voluntary non-profit - Private,"71046",CPT,RADIOLOGY X-RAY CHEST 2 VIEWS,Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Anthem Medicare,Blue Cross,Medicare,90.44,"360365","1790131050",-82.59326,40.772408,"715 Richland Mall",Mansfield,OH,"44906",Richland,"Mansfield, OH",true,4,Acute Care Hospitals,26,POINT (-82.59326 40.772408),5,4,Below the national average,Same as the national average,Not Available,Above the national average,Same as the national average,Below the national average,Above the national average
Avita Health System - Ontario Hospital,,Voluntary non-profit - Private,"71046",CPT,RADIOLOGY X-RAY CHEST 2 VIEWS,Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Cash Price,Cash Price,Self-Pay,226.10,"360365","1790131050",-82.59326,40.772408,"715 Richland Mall",Mansfield,OH,"44906",Richland,"Mansfield, OH",true,4,Acute Care Hospitals,26,POINT (-82.59326 40.772408),5,4,Below the national average,Same as the national average,Not Available,Above the national average,Same as the national average,Below the national average,Above the national average
Avita Health System - Ontario Hospital,,Voluntary non-profit - Private,"71046",CPT,RADIOLOGY X-RAY CHEST 2 VIEWS,Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Cigna,Cigna,Commercial,213.33,"360365","1790131050",-82.59326,40.772408,"715 Richland Mall",Mansfield,OH,"44906",Richland,"Mansfield, OH",true,4,Acute Care Hospitals,26,POINT (-82.59326 40.772408),5,4,Below the national average,Same as the national average,Not Available,Above the national average,Same as the national average,Below the national average,Above the national average
Avita Health System - Ontario Hospital,,Voluntary non-profit - Private,"71046",CPT,RADIOLOGY X-RAY CHEST 2 VIEWS,Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Humana,Humana,Commercial,255.36,"360365","1790131050",-82.59326,40.772408,"715 Richland Mall",Mansfield,OH,"44906",Richland,"Mansfield, OH",true,4,Acute Care Hospitals,26,POINT (-82.59326 40.772408),5,4,Below the national average,Same as the national average,Not Available,Above the national average,Same as the national average,Below the national average,Above the national average
Avita Health System - Ontario Hospital,,Voluntary non-profit - Private,"71046",CPT,RADIOLOGY X-RAY CHEST 2 VIEWS,Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Humana Medicare,Humana,Medicare,73.06,"360365","1790131050",-82.59326,40.772408,"715 Richland Mall",Mansfield,OH,"44906",Richland,"Mansfield, OH",true,4,Acute Care Hospitals,26,POINT (-82.59326 40.772408),5,4,Below the national average,Same as the national average,Not Available,Above the national average,Same as the national average,Below the national average,Above the national average
Avita Health System - Ontario Hospital,,Voluntary non-profit - Private,"71046",CPT,RADIOLOGY X-RAY CHEST 2 VIEWS,Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,List Price,Unsorted,List Price,266.00,"360365","1790131050",-82.59326,40.772408,"715 Richland Mall",Mansfield,OH,"44906",Richland,"Mansfield, OH",true,4,Acute Care Hospitals,26,POINT (-82.59326 40.772408),5,4,Below the national average,Same as the national average,Not Available,Above the national average,Same as the national average,Below the national average,Above the national average
Avita Health System - Ontario Hospital,,Voluntary non-profit - Private,"71046",CPT,RADIOLOGY X-RAY CHEST 2 VIEWS,Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Medicare Reference Pricing (Generated by Turquoise Health),Medicare Reference Pricing (Generated by Turquoise Health),Medicare Reference Pricing (Generated by Turquoise Health),72.59,"360365","1790131050",-82.59326,40.772408,"715 Richland Mall",Mansfield,OH,"44906",Richland,"Mansfield, OH",true,4,Acute Care Hospitals,26,POINT (-82.59326 40.772408),5,4,Below the national average,Same as the national average,Not Available,Above the national average,Same as the national average,Below the national average,Above the national average
Avita Health System - Ontario Hospital,,Voluntary non-profit - Private,"71046",CPT,RADIOLOGY X-RAY CHEST 2 VIEWS,Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,MMO,Unsorted,Commercial,212.80,"360365","1790131050",-82.59326,40.772408,"715 Richland Mall",Mansfield,OH,"44906",Richland,"Mansfield, OH",true,4,Acute Care Hospitals,26,POINT (-82.59326 40.772408),5,4,Below the national average,Same as the national average,Not Available,Above the national average,Same as the national average,Below the national average,Above the national average
Avita Health System - Ontario Hospital,,Voluntary non-profit - Private,"71046",CPT,RADIOLOGY X-RAY CHEST 2 VIEWS,Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,MMO Medicare,Unsorted,Medicare,73.06,"360365","1790131050",-82.59326,40.772408,"715 Richland Mall",Mansfield,OH,"44906",Richland,"Mansfield, OH",true,4,Acute Care Hospitals,26,POINT (-82.59326 40.772408),5,4,Below the national average,Same as the national average,Not Available,Above the national average,Same as the national average,Below the national average,Above the national average
Avita Health System - Ontario Hospital,,Voluntary non-profit - Private,"71046",CPT,RADIOLOGY X-RAY CHEST 2 VIEWS,Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,UHC,United Healthcare,Commercial,226.10,"360365","1790131050",-82.59326,40.772408,"715 Richland Mall",Mansfield,OH,"44906",Richland,"Mansfield, OH",true,4,Acute Care Hospitals,26,POINT (-82.59326 40.772408),5,4,Below the national average,Same as the national average,Not Available,Above the national average,Same as the national average,Below the national average,Above the national average
Avita Health System - Ontario Hospital,,Voluntary non-profit - Private,"71046",CPT,RADIOLOGY X-RAY CHEST 2 VIEWS,Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,UHC Medicare,United Healthcare,Medicare,73.06,"360365","1790131050",-82.59326,40.772408,"715 Richland Mall",Mansfield,OH,"44906",Richland,"Mansfield, OH",true,4,Acute Care Hospitals,26,POINT (-82.59326 40.772408),5,4,Below the national average,Same as the national average,Not Available,Above the national average,Same as the national average,Below the national average,Above the national average
Avita Health System - Ontario Hospital,,Voluntary non-profit - Private,"72148",CPT,MRI SPINE W/O CONTRAST LUMBAR,Diagnostic Radiology (Diagnostic Imaging) Procedures of the Spine and Pelvis,Aetna,Aetna,Commercial,3138.20,"360365","1790131050",-82.59326,40.772408,"715 Richland Mall",Mansfield,OH,"44906",Richland,"Mansfield, OH",true,4,Acute Care Hospitals,26,POINT (-82.59326 40.772408),5,4,Below the national average,Same as the national average,Not Available,Above the national average,Same as the national average,Below the national average,Above the national average
Avita Health System - Ontario Hospital,,Voluntary non-profit - Private,"72148",CPT,MRI SPINE W/O CONTRAST LUMBAR,Diagnostic Radiology (Diagnostic Imaging) Procedures of the Spine and Pelvis,Anthem,Blue Cross,Commercial,1978.00,"360365","1790131050",-82.59326,40.772408,"715 Richland Mall",Mansfield,OH,"44906",Richland,"Mansfield, OH",true,4,Acute Care Hospitals,26,POINT (-82.59326 40.772408),5,4,Below the national average,Same as the national average,Not Available,Above the national average,Same as the national average,Below the national average,Above the national average
Avita Health System - Ontario Hospital,,Voluntary non-profit - Private,"72148",CPT,MRI SPINE W/O CONTRAST LUMBAR,Diagnostic Radiology (Diagnostic Imaging) Procedures of the Spine and Pelvis,Anthem Medicare,Blue Cross,Medicare,1255.28,"360365","1790131050",-82.59326,40.772408,"715 Richland Mall",Mansfield,OH,"44906",Richland,"Mansfield, OH",true,4,Acute Care Hospitals,26,POINT (-82.59326 40.772408),5,4,Below the national average,Same as the national average,Not Available,Above the national average,Same as the national average,Below the national average,Above the national average
Avita Health System - Ontario Hospital,,Voluntary non-profit - Private,"72148",CPT,MRI SPINE W/O CONTRAST LUMBAR,Diagnostic Radiology (Diagnostic Imaging) Procedures of the Spine and Pelvis,Cash Price,Cash Price,Self-Pay,3138.20,"360365","1790131050",-82.59326,40.772408,"715 Richland Mall",Mansfield,OH,"44906",Richland,"Mansfield, OH",true,4,Acute Care Hospitals,26,POINT (-82.59326 40.772408),5,4,Below the national average,Same as the national average,Not Available,Above the national average,Same as the national average,Below the national average,Above the national average
Avita Health System - Ontario Hospital,,Voluntary non-profit - Private,"72148",CPT,MRI SPINE W/O CONTRAST LUMBAR,Diagnostic Radiology (Diagnostic Imaging) Procedures of the Spine and Pelvis,Cigna,Cigna,Commercial,2960.98,"360365","1790131050",-82.59326,40.772408,"715 Richland Mall",Mansfield,OH,"44906",Richland,"Mansfield, OH",true,4,Acute Care Hospitals,26,POINT (-82.59326 40.772408),5,4,Below the national average,Same as the national average,Not Available,Above the national average,Same as the national average,Below the national average,Above the national average
Avita Health System - Ontario Hospital,,Voluntary non-profit - Private,"72148",CPT,MRI SPINE W/O CONTRAST LUMBAR,Diagnostic Radiology (Diagnostic Imaging) Procedures of the Spine and Pelvis,Humana,Humana,Commercial,3544.32,"360365","1790131050",-82.59326,40.772408,"715 Richland Mall",Mansfield,OH,"44906",Richland,"Mansfield, OH",true,4,Acute Care Hospitals,26,POINT (-82.59326 40.772408),5,4,Below the national average,Same as the national average,Not Available,Above the national average,Same as the national average,Below the national average,Above the national average
Avita Health System - Ontario Hospital,,Voluntary non-profit - Private,"72148",CPT,MRI SPINE W/O CONTRAST LUMBAR,Diagnostic Radiology (Diagnostic Imaging) Procedures of the Spine and Pelvis,Humana Medicare,Humana,Medicare,213.33,"360365","1790131050",-82.59326,40.772408,"715 Richland Mall",Mansfield,OH,"44906",Richland,"Mansfield, OH",true,4,Acute Care Hospitals,26,POINT (-82.59326 40.772408),5,4,Below the national average,Same as the national average,Not Available,Above the national average,Same as the national average,Below the national average,Above the national average
